key,stand,significant,factor,date
temp=<60 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0123934992245577,2026-08-20
temp=60-70 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0070382278889011,2026-08-20
temp=70-80 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0038541997809005,2026-08-20
temp=60-70 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0037167549812481,2026-08-20
temp=60-70 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0043302402058756,2026-08-20
temp=70-80 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0068824933038085,2026-08-20
temp=70-80 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0074949250537649,2026-08-20
temp=60-70 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0075182493610859,2026-08-20
temp=60-70 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0089391279663025,2026-08-20
temp=70-80 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.010677442064063,2026-08-20
temp=70-80 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0120958632816311,2026-08-20
temp=80-90 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0167119688369208,2026-08-20
temp=80-90 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0173210933772099,2026-08-20
temp=80-90 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),-0.0204863697043499,2026-08-20
temp=90+ wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0213351795092775,2026-08-20
temp=90+ wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0219427295848657,2026-08-20
temp=<60 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0239768877562785,2026-08-20
temp=80-90 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.0243637276797759,2026-08-20
temp=<60 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0245835327385096,2026-08-20
temp=80-90 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),-0.0275164723583913,2026-08-20
temp=<60 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.031597317071201,2026-08-20
temp=80-90 wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.042632198474993,2026-08-20
temp=90+ wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.047187001621171,2026-08-20
temp=60-70 wind=Varies speed=15+mph,L,no (CI overlaps baseline),-0.0485983007152269,2026-08-20
temp=<60 wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.0497893934700617,2026-08-20
temp=80-90 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0530905151174825,2026-08-20
temp=80-90 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0536869230811503,2026-08-20
temp=80-90 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0567859203387104,2026-08-20
temp=90+ wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0576169000316357,2026-08-20
temp=80-90 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0581669814835619,2026-08-20
temp=90+ wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0582116732236229,2026-08-20
temp=<60 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0602029635613972,2026-08-20
temp=<60 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0607967975398107,2026-08-20
temp=90+ wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0613021514411431,2026-08-20
temp=90+ wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0626794028052898,2026-08-20
temp=<60 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0638823815138471,2026-08-20
temp=<60 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0652574442094547,2026-08-20
